City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tasiilaq,GL,2021-12-18 00:15:11,65.6145,-37.6368,26.76,80,24,6.22
67,Evensk,RU,2021-12-18 00:15:11,61.95,159.2333,-8.97,79,100,5.86
68,Dong Hoi,VN,2021-12-18 00:15:11,17.4833,106.6,70.38,85,100,17.83
69,Kruisfontein,ZA,2021-12-18 00:15:12,-34.0033,24.7314,58.89,73,1,12.57
70,Luderitz,NA,2021-12-18 00:15:12,-26.6481,15.1594,61.34,89,45,13.0
71,Albany,US,2021-12-18 00:13:41,42.6001,-73.9662,42.8,57,86,10.69
72,Lorengau,PG,2021-12-18 00:11:44,-2.0226,147.2712,81.32,84,95,9.66
73,Kununurra,AU,2021-12-18 00:15:13,-15.7667,128.7333,85.98,70,40,3.44
74,Mataura,NZ,2021-12-18 00:15:13,-46.1927,168.8643,58.48,45,61,11.79
75,Akureyri,IS,2021-12-18 00:15:14,65.6835,-18.0878,37.33,93,90,1.14
76,Bathsheba,BB,2021-12-18 00:15:14,13.2167,-59.5167,79.41,73,20,24.16
77,Qaanaaq,GL,2021-12-18 00:15:15,77.484,-69.3632,-10.23,95,100,5.7
78,Georgetown,MY,2021-12-18 00:10:45,5.4112,100.3354,77.9,95,40,5.75
79,Talnakh,RU,2021-12-18 00:15:16,69.4865,88.3972,-34.56,95,33,3.6
80,Busselton,AU,2021-12-18 00:13:03,-33.65,115.3333,65.08,72,98,20.96
81,Butaritari,KI,2021-12-18 00:15:16,3.0707,172.7902,82.38,78,17,19.08
82,Verguleasa,RO,2021-12-18 00:15:16,44.65,24.3167,34.56,74,72,5.26
83,Saint-Philippe,RE,2021-12-18 00:15:17,-21.3585,55.7679,72.99,75,13,4.38
84,Norman Wells,CA,2021-12-18 00:15:18,65.282,-126.8329,-16.56,69,90,10.36
85,Rundu,NA,2021-12-18 00:15:18,-17.9333,19.7667,70.99,63,100,4.7
86,Merauke,ID,2021-12-18 00:15:19,-8.4667,140.3333,76.08,95,100,7.63
87,Bluff,NZ,2021-12-18 00:15:19,-46.6,168.3333,58.8,64,83,24.29
88,Mehamn,NO,2021-12-18 00:15:20,71.0357,27.8492,30.27,91,100,16.42
89,Akot,IN,2021-12-18 00:15:20,21.0964,77.0586,61.84,71,5,3.78
90,Leningradskiy,RU,2021-12-18 00:15:21,69.3833,178.4167,-15.54,99,100,0.74
91,Chaman,PK,2021-12-18 00:16:21,30.9236,66.4512,35.4,13,0,2.24
92,Cabo San Lucas,MX,2021-12-18 00:12:32,22.8909,-109.9124,76.51,76,90,3.44
93,Codrington,AU,2021-12-18 00:16:21,-38.2667,141.9667,70.77,54,22,16.11
94,Hami,CN,2021-12-18 00:16:22,42.8,93.45,22.41,57,26,4.18
95,Flinders,AU,2021-12-18 00:16:22,-34.5833,150.8552,85.05,72,94,9.62
96,Buraydah,SA,2021-12-18 00:16:22,26.326,43.975,64.85,32,100,10.42
97,Atuona,PF,2021-12-18 00:16:23,-9.8,-139.0333,78.35,72,7,10.45
98,Panorama,GR,2021-12-18 00:16:23,40.5878,23.0315,41.9,59,40,5.99
99,Kemi,FI,2021-12-18 00:16:24,65.8596,24.8228,28.17,93,90,3.44
100,New Norfolk,AU,2021-12-18 00:16:24,-42.7826,147.0587,92.66,22,99,8.99
101,Namatanai,PG,2021-12-18 00:16:25,-3.6667,152.4333,83.5,75,78,5.61
102,Otradnoye,RU,2021-12-18 00:16:25,59.7775,30.8181,30.25,99,94,2.8
103,Tiksi,RU,2021-12-18 00:16:25,71.6872,128.8694,-23.67,100,100,2.46
104,Flin Flon,CA,2021-12-18 00:15:14,54.7682,-101.865,-9.56,77,75,4.61
105,Port Alfred,ZA,2021-12-18 00:16:26,-33.5906,26.891,60.78,79,79,21.36
106,Rajpura,IN,2021-12-18 00:16:26,30.4831,76.595,45.5,46,2,8.57
107,Nyurba,RU,2021-12-18 00:16:27,63.2842,118.3319,-45.36,99,90,1.54
108,Bandarbeyla,SO,2021-12-18 00:16:27,9.4942,50.8122,76.42,75,65,16.84
109,Khatanga,RU,2021-12-18 00:16:28,71.9667,102.5,-40.16,100,90,4.83
110,Fort Smith,US,2021-12-18 00:16:28,35.3859,-94.3986,63.19,95,90,4.0
111,Sola,VU,2021-12-18 00:16:29,-13.8833,167.55,81.41,69,96,12.39
112,Namibe,AO,2021-12-18 00:16:29,-15.1961,12.1522,66.22,78,7,7.81
113,Kachug,RU,2021-12-18 00:16:29,53.9606,105.8817,3.81,95,100,2.1
114,Port Blair,IN,2021-12-18 00:16:30,11.6667,92.75,75.31,78,24,9.35
