City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
415,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
416,Mahibadhoo,MV,82.24,overcast clouds,3.7833,72.9667,Omadhoo Inn
427,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
434,Monrovia,LR,83.97,clear sky,6.3005,-10.7969,Sunset Inn
437,Bandarbeyla,SO,77.86,few clouds,9.4942,50.8122,JABIR HOTEL
454,Loubomo,CG,75.79,overcast clouds,-4.1997,12.6739,La Dolisienne
455,Poum,NC,79.14,scattered clouds,-20.2333,164.0167,Gîte kajeon
457,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
468,Liwale,TZ,75.47,broken clouds,-9.7667,37.9333,Samoma lodge
470,Iralaya,HN,82.49,scattered clouds,15.0,-83.2333,Iglesia morava renovada
476,Harper,LR,81.0,overcast clouds,4.375,-7.7169,Screensaver
477,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
482,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
483,Morondava,MG,80.65,overcast clouds,-20.2833,44.2833,La Case Bambou
484,Yendi,GH,84.09,few clouds,9.4427,-0.0099,Eyarro Lodge
487,Carutapera,BR,85.78,overcast clouds,-1.195,-46.02,Lidera
488,Inirida,CO,84.56,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
489,Ilebo,CD,77.14,light rain,-4.3167,20.5833,Hôtel BUMAK
493,Seminole,US,85.21,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
494,Hobyo,SO,80.24,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
498,Pueblo Nuevo Vinas,GT,81.93,few clouds,14.2258,-90.4742,Ministerio Publico
500,Sao Felix Do Xingu,BR,77.32,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
503,Chuy,UY,78.01,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
504,Mayumba,GA,78.35,scattered clouds,-3.432,10.6554,LIKWALE LODGE
512,Sinnamary,GF,82.58,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
513,Puerto Vallarta,MX,80.91,overcast clouds,20.6204,-105.2307,Sheraton Buganvilias Resort & Convention Center
516,Lagunas,PE,82.24,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
517,Celestun,MX,83.91,few clouds,20.8667,-90.4,Posada Lilia
526,Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
527,Juba,SS,85.03,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
528,Caravelas,BR,78.89,light rain,-17.7125,-39.2481,Pousada dos Navegantes
531,Dicabisagan,PH,76.62,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
533,Manadhoo,MV,81.48,overcast clouds,5.7667,73.3833,Reason Inn
542,Ambilobe,MG,78.6,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
543,Vao,NC,76.03,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
545,Dondo,MZ,78.31,overcast clouds,-19.6094,34.7431,Arco Iris
546,Omboue,GA,78.28,moderate rain,-1.5746,9.2618,Hotel Olako
548,Nova Soure,BR,86.04,broken clouds,-11.2333,-38.4833,Branca Hotel
558,Namatanai,PG,78.76,light rain,-3.6667,152.4333,Seagulls Inn Namatani
559,Matara,LK,76.69,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
560,Anloga,GH,84.42,clear sky,5.7947,0.8973,Pin Drop Hotel
563,Manaus,BR,86.5,heavy intensity rain,-3.1019,-60.025,Manaus Hotéis Millennium
568,Luanda,AO,78.03,broken clouds,-8.8368,13.2343,Hotel Fórum
576,Guiratinga,BR,82.47,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
583,Kintampo,GH,81.79,scattered clouds,8.0563,-1.7306,Adomaa Memorial Hotel
587,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
588,Pilar,BR,87.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
589,Labuhan,ID,80.49,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
596,Miri,MY,78.94,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
599,Dabakala,CI,82.4,broken clouds,8.3667,-4.4333,Hôtel Campement
602,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
605,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
609,Soyo,AO,82.45,few clouds,-6.1349,12.3689,Hotel Mpampa
619,Uaua,BR,88.99,overcast clouds,-9.8414,-39.4817,Hotel Uauá
620,Tual,ID,83.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
622,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
624,Bonthe,SL,81.55,few clouds,7.5264,-12.505,Bonthe Holiday Village
626,Kolondieba,ML,82.13,clear sky,11.0882,-6.8926,Hotel Dakan
627,Batticaloa,LK,77.85,broken clouds,7.7102,81.6924,Grand Star Guest House
629,Maues,BR,82.18,overcast clouds,-3.3836,-57.7186,Hotel Miramar
641,Cururupu,BR,85.05,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
646,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
657,Codajas,BR,82.0,moderate rain,-3.8367,-62.0569,Atlântic Hotel
660,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
662,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
666,Manicore,BR,75.38,light rain,-5.8092,-61.3003,Hotel Durval
681,Mogadishu,SO,79.79,broken clouds,2.0371,45.3438,Hotel Juba
684,Bida,NG,81.0,clear sky,9.0833,6.0167,Royal Suite
691,Consolacion Del Sur,CU,88.66,clear sky,22.5047,-83.5136,Cuarto de alquiler
699,Jaicos,BR,87.39,overcast clouds,-7.3592,-41.1378,Hotel Jaicós
703,Pangani,TZ,79.29,light rain,-5.4333,38.9667,Safari Mashariki Lodge
706,Wewak,PG,78.13,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
