City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Patricio,US,28.017,-97.5169,53.69,47,100,12.88,overcast clouds
80,New Norfolk,AU,-42.7826,147.0587,55.92,58,94,5.01,overcast clouds
81,Acarau,BR,-2.8856,-40.12,85.15,62,98,17.16,overcast clouds
82,Kaitangata,NZ,-46.2817,169.8464,60.22,69,100,4.7,overcast clouds
83,Kruisfontein,ZA,-34.0033,24.7314,66.88,89,49,13.62,scattered clouds
84,Kasongo-Lunda,CD,-6.4667,16.8167,76.23,85,100,1.61,light rain
85,Qandala,SO,11.472,49.8728,76.87,83,70,8.61,broken clouds
86,Gamba,GA,-2.65,10.0,78.48,88,99,4.81,overcast clouds
87,Nikolskoye,RU,59.7035,30.7861,23.4,92,100,12.26,light snow
88,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,65,40,11.5,scattered clouds
89,Mount Gambier,AU,-37.8333,140.7667,49.91,87,75,8.05,broken clouds
90,Khromtau,KZ,50.2503,58.4347,24.84,91,93,15.26,overcast clouds
91,Sitka,US,57.0531,-135.33,28.29,86,40,0.0,scattered clouds
92,Erzin,TR,36.9559,36.2,52.52,95,100,2.8,overcast clouds
93,Phalombe,MW,-15.8064,35.6507,67.64,89,37,5.57,scattered clouds
94,Marsa Matruh,EG,31.3525,27.2453,52.0,66,40,13.8,scattered clouds
95,Mahina,PF,-17.5065,-149.489,82.17,69,20,4.61,light rain
96,Nouadhibou,MR,20.931,-17.0347,69.78,73,100,5.75,overcast clouds
97,Ajdabiya,LY,30.7554,20.2263,52.68,63,99,16.42,overcast clouds
98,Havre-Saint-Pierre,CA,50.2334,-63.5986,18.19,53,40,9.22,scattered clouds
99,Thinadhoo,MV,0.5333,72.9333,80.64,79,97,4.25,overcast clouds
100,Itarema,BR,-2.9248,-39.9167,84.94,62,74,16.17,broken clouds
101,Filingue,NE,14.3521,3.3168,74.08,14,3,9.82,clear sky
102,Sukhobezvodnoye,RU,57.0491,44.8891,19.71,94,100,9.73,light snow
103,Villacarrillo,ES,38.1156,-3.0848,46.99,71,94,3.58,overcast clouds
104,Pontian Kecil,MY,1.4801,103.3899,77.38,93,93,6.31,overcast clouds
105,Saldanha,ZA,-33.0117,17.9442,66.92,77,100,9.89,light rain
106,Mar Del Plata,AR,-38.0023,-57.5575,87.82,89,40,13.0,scattered clouds
107,Pacific Grove,US,36.6177,-121.9166,56.37,80,40,1.99,scattered clouds
108,Tacuarembo,UY,-31.7333,-55.9833,99.01,24,0,7.18,clear sky
109,Severo-Kurilsk,RU,50.6789,156.125,28.11,91,100,15.75,snow
110,West Plains,US,36.7281,-91.8524,36.52,66,1,3.44,clear sky
111,Fortuna,US,40.5982,-124.1573,54.99,62,90,11.99,overcast clouds
112,Cockburn Town,TC,21.4612,-71.1419,79.16,70,87,16.28,overcast clouds
113,Faanui,PF,-16.4833,-151.75,79.65,77,29,8.61,light rain
114,Victoria,HK,22.2855,114.1577,68.38,54,100,3.0,overcast clouds
115,Krasnoselkup,RU,65.7,82.4667,-39.87,96,14,4.47,few clouds
116,Guangyuan,CN,32.442,105.823,40.23,86,3,2.53,clear sky
117,Chokurdakh,RU,70.6333,147.9167,-18.47,99,100,9.98,light snow
118,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,20,10.36,few clouds
119,Narsaq,GL,60.9167,-46.05,39.87,45,100,28.99,overcast clouds
120,Makakilo City,US,21.3469,-158.0858,73.69,83,1,6.91,light rain
121,Sakhnovshchyna,UA,49.1517,35.872,32.9,97,100,18.3,light snow
122,Grindavik,IS,63.8424,-22.4338,45.07,100,90,11.5,overcast clouds
123,Bengkulu,ID,-3.8004,102.2655,75.0,93,100,3.51,overcast clouds
124,Mareeba,AU,-17.0,145.4333,70.52,93,70,1.43,broken clouds
125,Jalingo,NG,8.8833,11.3667,77.86,27,58,5.14,broken clouds
126,Bilma,NE,18.6853,12.9164,63.16,23,0,11.39,clear sky
127,Bethel,US,41.3712,-73.414,38.48,63,20,4.0,few clouds
128,Brooks,CA,50.5834,-111.8851,16.43,74,97,14.97,overcast clouds
129,Paraiso,CR,9.8383,-83.8656,78.96,68,77,4.65,broken clouds
130,Coaldale,CA,49.7167,-112.6185,16.57,67,90,13.8,overcast clouds
131,Denpasar,ID,-8.65,115.2167,82.06,88,40,8.05,scattered clouds
132,Beloha,MG,-25.1667,45.05,66.31,66,100,9.17,overcast clouds
133,Barrow,US,71.2906,-156.7887,-5.78,77,90,20.71,overcast clouds
134,Kodiak,US,57.79,-152.4072,29.71,86,1,3.44,clear sky
135,Iracoubo,GF,5.4802,-53.2011,82.36,72,20,9.24,few clouds
136,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,0,16.11,clear sky
137,Hasaki,JP,35.7333,140.8333,30.49,53,9,12.26,clear sky
138,Pisco,PE,-13.7,-76.2167,71.02,77,90,10.36,mist
139,Kita,ML,13.0349,-9.4895,83.3,17,23,5.59,few clouds
140,Katsuura,JP,35.1333,140.3,39.31,53,0,8.88,clear sky
141,Kieta,PG,-6.2167,155.6333,79.2,86,47,0.67,light rain
142,Puerto Carreno,CO,6.189,-67.4859,89.58,58,40,14.97,scattered clouds
143,Alberton,CA,46.8168,-64.0654,28.53,62,100,11.3,overcast clouds
144,Kozmodemyansk,RU,56.3367,46.5711,23.83,94,100,12.19,light snow
145,Iqaluit,CA,63.7506,-68.5145,10.13,61,75,4.61,broken clouds
146,Talnakh,RU,69.4865,88.3972,-33.27,95,62,3.09,broken clouds
147,Tessalit,ML,20.1986,1.0114,70.41,17,1,10.69,clear sky
148,San Cristobal,VE,7.7669,-72.225,75.38,42,27,3.76,scattered clouds
149,Dakar,SN,14.6937,-17.4441,77.88,78,100,21.85,overcast clouds
150,Velsk,RU,61.0701,42.0983,7.09,94,100,9.35,overcast clouds
151,Caconda,AO,-13.7333,15.0667,64.81,81,56,4.16,broken clouds
152,Kalianget,ID,-7.05,113.9333,82.45,76,100,0.45,moderate rain
153,Kavaratti,IN,10.5669,72.642,81.64,64,0,5.93,clear sky
154,Carnarvon,AU,-24.8667,113.6333,71.67,83,0,17.27,clear sky
155,Parrita,CR,9.5201,-84.3225,94.06,74,38,6.02,scattered clouds
156,Diamantino,BR,-14.4086,-56.4461,84.94,73,91,5.68,overcast clouds
157,Port Hedland,AU,-20.3167,118.5667,86.05,42,8,3.44,clear sky
158,Ilulissat,GL,69.2167,-51.1,35.62,48,40,32.21,scattered clouds
159,Bahia Honda,CU,22.9036,-83.1592,83.91,58,7,4.79,clear sky
160,Mantua,IT,45.1667,10.7833,42.53,83,0,9.8,clear sky
161,Saint Anthony,US,45.0205,-93.218,23.95,83,90,5.99,overcast clouds
162,Ahuimanu,US,21.4447,-157.8378,74.86,81,75,17.27,moderate rain
163,Yellowknife,CA,62.456,-114.3525,-14.58,82,40,6.91,scattered clouds
164,Monte Redondo,PT,39.8993,-8.8317,61.41,62,0,17.27,clear sky
165,Kollam,IN,8.8833,76.6,82.27,71,88,7.14,overcast clouds
166,Zhangye,CN,38.9342,100.4517,24.12,40,0,8.03,clear sky
167,Saint-Pierre,RE,-21.3393,55.4781,80.28,64,90,3.44,light rain
168,Arman,RU,59.7,150.1667,-7.8,81,100,11.7,overcast clouds
169,Mama,RU,58.3106,112.8986,-31.83,100,100,3.2,overcast clouds
170,Shache,CN,38.4167,77.2406,22.96,56,31,2.19,scattered clouds
171,Taseyevo,RU,57.2169,94.8978,-25.02,98,92,4.25,overcast clouds
172,Hami,CN,42.8,93.45,23.63,50,7,0.69,clear sky
173,Smithers,CA,54.7804,-127.1743,-3.68,77,40,5.75,scattered clouds
174,Jamestown,US,42.097,-79.2353,30.09,78,75,4.0,light snow
175,Port Blair,IN,11.6667,92.75,79.52,76,85,9.78,overcast clouds
176,Lompoc,US,34.6391,-120.4579,64.09,73,1,0.0,clear sky
177,Raudeberg,NO,61.9875,5.1352,39.87,92,87,1.01,overcast clouds
178,Muslyumovo,RU,55.3033,53.1947,11.12,98,97,5.19,overcast clouds
179,Onverwacht,SR,5.5833,-55.1833,89.6,62,40,8.05,scattered clouds
